번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1994,자존과 원칙의 힘,조태열 지음,나남출판,2021,9.78893E+12,,,,,1,0,2021-02-09
1995,숙의민주주의,"James S. Fishkin 지음, 박정원 옮김",한국문화사,2020,9.78897E+12,,,,,1,0,2021-02-09
1996,"기업시민, 미래경영을 그리다",곽수근.송호근.문형구 외 지음,나남출판,2020,9.78893E+12,,,,,1,0,2021-02-09
1997,이산,한성훈 지음,여문책,2020,9.79119E+12,,,,,1,0,2021-02-09
1998,세계화와 아시아의 빈곤,오근엽.한인수 지음,아르케,2020,9.78896E+12,,,,,1,1,2021-02-09
1999,포스트케인지언 내생화폐이론,박만섭 지음,아카넷,2020,9.78896E+12,,,,,1,0,2021-02-09
2000,돈의 속성:최상위 부자가 말하는 돈에 대한 모든 것,김승호 지음,Snowfox(스노우폭스북스),2021,9.79119E+12,,0,,320.4,1,2,2021-02-09
2001,돈의 속성:최상위 부자가 말하는 돈에 대한 모든 것,김승호 지음,Snowfox(스노우폭스북스),2021,9.79119E+12,,0,,320.4,1,2,2021-02-09
2002,돈의 속성:최상위 부자가 말하는 돈에 대한 모든 것,김승호 지음,Snowfox(스노우폭스북스),2021,9.79119E+12,,0,,320.4,1,4,2021-02-09
2003,서경,이세동 지음,을유문화사,2020,9.78893E+12,,,,142.2,1,1,2021-02-09
2004,세 번째 뇌,"장 미셸 우구를리앙 지음, 임명주 옮김",나무의마음,2020,9.79119E+12,,,,189.2,1,1,2021-02-09
2005,"1일 1수, 대학에서 인생의 한 수를 배우다",신정근 지음,21세기북스,2020,9.78895E+12,,,,,1,1,2021-02-09
2006,습관을 만드는 뇌,양은우 지음,웨일북,2020,9.79119E+12,,,,189.1,1,1,2021-02-09
2007,마음이 무기가 될 때,"스티븐 클레미치.마라 클레미치 지음, 이영래 옮김",한국경제신문,2020,9.78895E+12,,,,,1,2,2021-02-09
2008,냄새,"A. S. 바위치 지음, 김홍표 옮김",세로,2020,9.7912E+12,,,,181.23,1,2,2021-02-09
2009,나도 아직 나를 모른다,허지원 지음,김영사,2020,9.78893E+12,,,,181.3,1,2,2021-02-09
2010,새로운 생각은 어떻게 나를 바꾸는가,"모니카 H. 강 지음, 정영은 옮김",교보문고(단행본),2020,9.79116E+12,,,,,1,1,2021-02-09
2011,"홀로서기 심리학(인문1, 독치1)","라라 E. 필딩 지음, 이지민 옮김",메이븐,2020,9.79119E+12,,,,,2,3,2021-02-09
2012,"회사를 다닐 수도, 떠날 수도 없을 때","박태현 지음, 조자까 그림",중앙books(중앙북스),2020,9.78893E+12,,,,189.7,1,1,2021-02-09
2013,걱정이 넘치는 사람을 위한 가이드북,"리스 존슨.에릭 처들러 지음, 김성훈 옮김",현암사,2020,9.78893E+12,,,,,1,1,2021-02-09
2014,아시아 시대는 케이팝처럼 온다,정호재 지음,눌민,2020,9.79119E+12,,,,,1,2,2021-02-09
2015,위기에 빠진 지구,"로랑스 투비아나.클로드 앙리 지음, 한경희 옮김",여문책,2020,9.79119E+12,,,,,1,1,2021-02-09
2016,우리말 속뜻 논어,전광진 지음,속뜻사전교육출판사,2020,9.78899E+12,,,,148.3,1,1,2021-02-09
2017,알프레드 아들러,"알렉산더 클루이 지음, 이미옥 옮김",마인드큐브,2020,9.79119E+12,,,,180.99,1,1,2021-02-09
2018,거꾸로 선 나무,김영 지음,마인드큐브,2020,9.79119E+12,,,,155.7,1,1,2021-02-09
2019,걸으면 해결된다,우석영.소병철 지음,산현재,2020,9.7912E+12,,,,104,1,2,2021-02-09
2020,개념무기들,조정환 지음,갈무리,2020,9.78896E+12,,,,,1,1,2021-02-09
2021,우리는 모두 자살 사별자입니다,고선규 지음,창비,2020,9.78894E+12,,,,334.5,1,0,2021-02-09
2022,철학자의 뱃속,"미셸 옹프레 지음, 이아름 옮김",불란서책방,2020,9.7912E+12,,,,,1,1,2021-02-09
2023,포토샵 & 일러스트레이터 CC 2021 무작정 따라하기,민지영.앤미디어 지음,길벗,2021,9.79117E+12,,,,,0,0,2021-02-09
2024,Do it! 장고 + 부트스트랩 파이썬 웹 개발의 정석,이성용.김태곤 지음,이지스퍼블리싱,2021,9.79116E+12,,,,,1,2,2021-02-09
2025,Do it! 점프 투 장고,박응용 지음,이지스퍼블리싱,2021,9.79116E+12,,,,,1,1,2021-02-09
2026,Do it! 구글 애널리틱스 입문,김선영.한수창 지음,이지스퍼블리싱,2021,9.79116E+12,,,,,1,2,2021-02-09
2027,Do it! 스위프트로 아이폰 앱 만들기 : 입문,송호정.이범근 지음,이지스퍼블리싱,2021,9.79116E+12,,,,,1,2,2021-02-09
2028,혼자 공부하는 머신러닝 + 딥러닝,박해선 지음,한빛미디어,2020,9.79116E+12,,,,,1,1,2021-02-09
2029,Do it! HTML + CSS + 자바스크립트 웹 표준의 정석,고경희 지음,이지스퍼블리싱,2021,9.79116E+12,,,,,1,2,2021-02-09
2030,혼자 공부하는 자바스크립트,윤인성 지음,한빛미디어,2021,9.79116E+12,,,,,1,1,2021-02-09
